match_id,winner,loser,tie
1.0,CSK,RCB,False
2.0,PBKS,DC,False
3.0,KKR,SRH,False
4.0,RR,LSG,False
5.0,GT,MI,False
6.0,RCB,PBKS,False
7.0,CSK,GT,False
8.0,SRH,MI,False
9.0,RR,DC,False
10.0,KKR,RCB,False
11.0,LSG,PBKS,False
12.0,GT,SRH,False
13.0,DC,CSK,False
14.0,RR,MI,False
15.0,LSG,RCB,False
16.0,KKR,DC,False
17.0,PBKS,GT,False
18.0,SRH,CSK,False
19.0,RR,RCB,False
20.0,MI,DC,False
21.0,LSG,GT,False
22.0,CSK,KKR,False
23.0,SRH,PBKS,False
24.0,GT,RR,False
25.0,MI,RCB,False
26.0,DC,LSG,False
27.0,RR,PBKS,False
28.0,,,True
29.0,CSK,MI,False
30.0,SRH,RCB,False
31.0,RR,KKR,False
32.0,DC,GT,False
33.0,MI,PBKS,False
34.0,LSG,CSK,False
35.0,SRH,DC,False
36.0,KKR,RCB,False
37.0,GT,PBKS,False
38.0,RR,MI,False
39.0,LSG,CSK,False
40.0,DC,GT,False
41.0,RCB,SRH,False
42.0,PBKS,KKR,False
43.0,DC,MI,False
44.0,RR,LSG,False
45.0,RCB,GT,False
46.0,CSK,SRH,False
47.0,KKR,DC,False
48.0,LSG,MI,False
49.0,,,True
50.0,,,True
51.0,KKR,MI,False
52.0,RCB,GT,False
53.0,CSK,PBKS,False
54.0,KKR,LSG,False
55.0,MI,SRH,False
56.0,DC,RR,False
57.0,SRH,LSG,False
58.0,RCB,PBKS,False
59.0,GT,CSK,False
60.0,KKR,MI,False
61.0,CSK,RR,False
62.0,RCB,DC,False
64.0,DC,LSG,False
65.0,PBKS,RR,False
67.0,LSG,MI,False
68.0,RCB,CSK,False
69.0,SRH,PBKS,False
71.0,KKR,SRH,False
72.0,RR,RCB,False
73.0,SRH,RR,False
74.0,KKR,SRH,False
